MovieID,Title,Year,Budget
83,Once Upon a Time... When We Were Colored (1995),1995,19213440
84,Last Summer in the Hamptons (1995),1995,10367935
85,Angels and Insects (1995),1995,17316168
86,White Squall (1996),1996,7152348
87,Dunston Checks In (1996),1996,6522850
88,Black Sheep (1996),1996,9614985
89,Nick of Time (1995),1995,8834497
90,"Journey of August King, The (1995)",1995,18093119
92,Mary Reilly (1996),1996,17032002
93,Vampire in Brooklyn (1995),1995,14796546
94,Beautiful Girls (1996),1996,15741010
95,Broken Arrow (1996),1996,13114952
96,In the Bleak Midwinter (1995),1995,14113844
97,"Hate (Haine, La) (1995)",1995,19930216
98,Shopping (1994),1994,7394894
99,Heidi Fleiss: Hollywood Madam (1995),1995,11856436
100,City Hall (1996),1996,12364260
101,Bottle Rocket (1996),1996,16802384
102,Mr. Wrong (1996),1996,12175585
103,Unforgettable (1996),1996,9328522
104,Happy Gilmore (1996),1996,11482513
105,"Bridges of Madison County, The (1995)",1995,19326444
106,Nobody Loves Me (Keiner liebt mich) (1994),1994,12101341
107,Muppet Treasure Island (1996),1996,7674725
108,Catwalk (1995),1995,14675796
109,Headless Body in Topless Bar (1995),1995,12227668
110,Braveheart (1995),1995,6951535
111,Taxi Driver (1976),1976,10857693
112,Rumble in the Bronx (1995),1995,7153706
113,Before and After (1996),1996,8299437
114,Margaret's Museum (1995),1995,14199495
115,Happiness Is in the Field (1995),1995,19165246
116,Anne Frank Remembered (1995),1995,5587910
117,"Young Poisoner's Handbook, The (1995)",1995,12063309
118,If Lucy Fell (1996),1996,16022415
119,"Steal Big, Steal Little (1995)",1995,7708761
120,Race the Sun (1996),1996,16910001
121,"Boys of St. Vincent, The (1993)",1993,8987513
122,Boomerang (1992),1992,13959901
123,Chungking Express (1994),1994,18978245
124,"Star Maker, The (Uomo delle stelle, L') (1995)",1995,17370975
125,Flirting With Disaster (1996),1996,16951719
126,"NeverEnding Story III, The (1994)",1994,19863047
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",1994,18216711
128,Jupiter's Wife (1994),1994,18649530
129,Pie in the Sky (1995),1995,18010074
130,Angela (1995),1995,7260085
131,Frankie Starlight (1995),1995,5350131
132,Jade (1995),1995,5175729
133,Nueba Yol (1995),1995,5054032
134,Sonic Outlaws (1995),1995,15949360
135,Down Periscope (1996),1996,18595134
136,From the Journals of Jean Seberg (1995),1995,6641677
137,Man of the Year (1995),1995,12367983
138,"Neon Bible, The (1995)",1995,7102562
139,Target (1995),1995,19111094
140,Up Close and Personal (1996),1996,19194201
141,"Birdcage, The (1996)",1996,14554791
142,Shadows (Cienie) (1988),1988,7497417
143,Gospa (1995),1995,9068250
144,"Brothers McMullen, The (1995)",1995,12762821
145,Bad Boys (1995),1995,18365827
146,"Amazing Panda Adventure, The (1995)",1995,9178669
147,"Basketball Diaries, The (1995)",1995,5653706
148,"Awfully Big Adventure, An (1995)",1995,11419221
149,Amateur (1994),1994,12260726
150,Apollo 13 (1995),1995,6094703
151,Rob Roy (1995),1995,8831464
152,"Addiction, The (1995)",1995,11151407
153,Batman Forever (1995),1995,12519685
154,Belle de jour (1967),1967,10233094
155,Beyond Rangoon (1995),1995,8717969
156,Blue in the Face (1995),1995,16287836
157,Canadian Bacon (1994),1994,12261008
158,Casper (1995),1995,9127531
159,Clockers (1995),1995,11639825
160,Congo (1995),1995,12015504
161,Crimson Tide (1995),1995,13873595
162,Crumb (1994),1994,12898744
163,Desperado (1995),1995,18848692
164,Devil in a Blue Dress (1995),1995,8723172
165,Die Hard: With a Vengeance (1995),1995,12011518
166,"Doom Generation, The (1995)",1995,17968576
167,Feast of July (1995),1995,14916109
168,First Knight (1995),1995,15153304
169,Free Willy 2: The Adventure Home (1995),1995,18398930
170,Hackers (1995),1995,16451718
171,Jeffrey (1995),1995,19288618
172,Johnny Mnemonic (1995),1995,6804214
173,Judge Dredd (1995),1995,5468571
174,Jury Duty (1995),1995,5894618
175,Kids (1995),1995,14327346
176,Living in Oblivion (1995),1995,17631707
177,Lord of Illusions (1995),1995,11017093
178,Love & Human Remains (1993),1993,17709926
179,Mad Love (1995),1995,9494192
180,Mallrats (1995),1995,5215737
181,Mighty Morphin Power Rangers: The Movie (1995),1995,15527568
182,Moonlight and Valentino (1995),1995,14386236
183,Mute Witness (1994),1994,16956328
184,Nadja (1994),1994,7438997
185,"Net, The (1995)",1995,14426715
186,Nine Months (1995),1995,16040545
187,Party Girl (1995),1995,16590234
188,"Prophecy, The (1995)",1995,12110025
189,Reckless (1995),1995,11000966
190,Safe (1995),1995,14749269
191,"Scarlet Letter, The (1995)",1995,9280625
192,"Show, The (1995)",1995,7378180
193,Showgirls (1995),1995,9262764
194,Smoke (1995),1995,17651915
195,Something to Talk About (1995),1995,9589956
196,Species (1995),1995,6593356
197,"Stars Fell on Henrietta, The (1995)",1995,16509226
198,Strange Days (1995),1995,13669147
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1964,11546062
200,"Tie That Binds, The (1995)",1995,6063802
201,Three Wishes (1995),1995,15659070
202,Total Eclipse (1995),1995,9088035
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995,14706120
204,Under Siege 2: Dark Territory (1995),1995,15479177
205,Unstrung Heroes (1995),1995,5695367
206,Unzipped (1995),1995,11651242
207,"Walk in the Clouds, A (1995)",1995,5457024
208,Waterworld (1995),1995,11557790
209,White Man's Burden (1995),1995,12312814
210,Wild Bill (1995),1995,9569335
211,"Browning Version, The (1994)",1994,15377163
212,Bushwhacked (1995),1995,11358237
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),1994,18423456
214,Before the Rain (Pred dozhdot) (1994),1994,17217311
215,Before Sunrise (1995),1995,7378103
216,Billy Madison (1995),1995,11753019
217,"Babysitter, The (1995)",1995,18259289
218,Boys on the Side (1995),1995,12563731
219,"Cure, The (1995)",1995,9074747
220,Castle Freak (1995),1995,12487738
222,Circle of Friends (1995),1995,17777937
223,Clerks (1994),1994,10517043
224,Don Juan DeMarco (1995),1995,16403580
225,Disclosure (1994),1994,14483968
226,Dream Man (1995),1995,9790195
227,Drop Zone (1994),1994,14045110
228,Destiny Turns on the Radio (1995),1995,12858912
229,Death and the Maiden (1994),1994,19604332
230,Dolores Claiborne (1994),1994,16788536
231,Dumb & Dumber (1994),1994,10106213
232,Eat Drink Man Woman (1994),1994,6259479
233,Exotica (1994),1994,18693871
234,Exit to Eden (1994),1994,9313311
235,Ed Wood (1994),1994,16943170
236,French Kiss (1995),1995,18723949
237,Forget Paris (1995),1995,15263445
238,Far From Home: The Adventures of Yellow Dog (1995),1995,9520142
239,"Goofy Movie, A (1995)",1995,13705116
240,Hideaway (1995),1995,6964582
241,Fluke (1995),1995,19082052
242,Farinelli: il castrato (1994),1994,13685431
243,Gordy (1995),1995,14875995
244,Gumby: The Movie (1995),1995,16235190
245,"Glass Shield, The (1994)",1994,12129878
246,Hoop Dreams (1994),1994,14521573
247,Heavenly Creatures (1994),1994,16573242
248,Houseguest (1994),1994,18467231
249,Immortal Beloved (1994),1994,15477884
250,Heavyweights (1994),1994,7532562
251,"Hunted, The (1995)",1995,13336430
252,I.Q. (1994),1994,5460858
253,Interview with the Vampire (1994),1994,19374926
254,Jefferson in Paris (1995),1995,13570561
255,"Jerky Boys, The (1994)",1994,9066667
256,Junior (1994),1994,8359755
257,Just Cause (1995),1995,14893829
258,"Kid in King Arthur's Court, A (1995)",1995,9030252
259,Kiss of Death (1995),1995,19435433
260,Star Wars: Episode IV - A New Hope (1977),1977,7598469
261,Little Women (1994),1994,10553248
262,"Little Princess, A (1995)",1995,8114750
263,Ladybird Ladybird (1994),1994,7068128
264,"Enfer, L' (1994)",1994,19886893
265,Like Water for Chocolate (Como agua para chocolate) (1992),1992,14154180
266,Legends of the Fall (1994),1994,14067683
267,Major Payne (1994),1994,5893247
268,Little Odessa (1994),1994,14876409
269,My Crazy Life (Mi vida loca) (1993),1993,11145525
270,Love Affair (1994),1994,5832358
271,Losing Isaiah (1995),1995,11630241
272,"Madness of King George, The (1994)",1994,11504009
273,Mary Shelley's Frankenstein (1994),1994,11576166
274,Man of the House (1995),1995,5223477
275,Mixed Nuts (1994),1994,11971806
276,Milk Money (1994),1994,11404418
277,Miracle on 34th Street (1994),1994,12154794
278,Miami Rhapsody (1995),1995,7933381
279,My Family (1995),1995,13508090
280,Murder in the First (1995),1995,10506744
281,Nobody's Fool (1994),1994,12638764
282,Nell (1994),1994,18816892
283,New Jersey Drive (1995),1995,8428185
284,New York Cop (1996),1996,5562792
285,Beyond Bedlam (1993),1993,5256223
286,Nemesis 2: Nebula (1995),1995,15802851
287,Nina Takes a Lover (1994),1994,8485609
288,Natural Born Killers (1994),1994,8448472
289,Only You (1994),1994,14792652
290,Once Were Warriors (1994),1994,10127980
291,Poison Ivy II (1995),1995,16947820
292,Outbreak (1995),1995,10742844
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",1994,16569710
294,"Perez Family, The (1995)",1995,9603518
295,"Pyromaniac's Love Story, A (1995)",1995,9953739
296,Pulp Fiction (1994),1994,9630881
297,Panther (1995),1995,14114044
298,Pushing Hands (1992),1992,10618627
299,Priest (1994),1994,16518976
300,Quiz Show (1994),1994,8300839
301,Picture Bride (1995),1995,18272273
302,Queen Margot (La Reine Margot) (1994),1994,14670196
303,"Quick and the Dead, The (1995)",1995,8414547
304,Roommates (1995),1995,6962430
305,Ready to Wear (Pret-A-Porter) (1994),1994,11337509
306,Three Colors: Red (1994),1994,18658864
307,Three Colors: Blue (1993),1993,9133139
308,Three Colors: White (1994),1994,9629879
309,"Red Firecracker, Green Firecracker (1994)",1994,12961251
310,Rent-a-Kid (1995),1995,14550488
311,Relative Fear (1994),1994,6628615
312,Stuart Saves His Family (1995),1995,18380933
313,"Swan Princess, The (1994)",1994,9356114
314,"Secret of Roan Inish, The (1994)",1994,7392804
315,"Specialist, The (1994)",1994,13273689
316,Stargate (1994),1994,13363231
317,"Santa Clause, The (1994)",1994,15926586
318,"Shawshank Redemption, The (1994)",1994,16680487
319,Shallow Grave (1994),1994,10024430
320,Suture (1993),1993,17880777
321,Strawberry and Chocolate (Fresa y chocolate) (1993),1993,9446059
322,Swimming with Sharks (1995),1995,11066238
324,"Sum of Us, The (1994)",1994,7252408
325,National Lampoon's Senior Trip (1995),1995,17483764
326,To Live (Huozhe) (1994),1994,5557335
327,Tank Girl (1995),1995,16942510
328,Tales From the Crypt Presents: Demon Knight (1995),1995,15226007
329,Star Trek: Generations (1994),1994,13309248
330,Tales from the Hood (1995),1995,19108804
331,Tom & Viv (1994),1994,15643183
332,Village of the Damned (1995),1995,17051599
333,Tommy Boy (1995),1995,19186121
334,Vanya on 42nd Street (1994),1994,15866659
335,"Underneath, The (1995)",1995,19968911
336,"Walking Dead, The (1995)",1995,9666612
337,What's Eating Gilbert Grape (1993),1993,6750468
338,Virtuosity (1995),1995,9930363
339,While You Were Sleeping (1995),1995,18919153
340,"War, The (1994)",1994,19791638
341,Double Happiness (1994),1994,7061557
342,Muriel's Wedding (1994),1994,11155158
343,"Baby-Sitters Club, The (1995)",1995,18236733
344,Ace Ventura: Pet Detective (1994),1994,8029535
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994,6408389
346,Backbeat (1993),1993,19277926
347,Bitter Moon (1992),1992,14000941
348,Bullets Over Broadway (1994),1994,12865992
349,Clear and Present Danger (1994),1994,15475255
350,"Client, The (1994)",1994,16890643
351,"Corrina, Corrina (1994)",1994,15380668
352,Crooklyn (1994),1994,10981758
353,"Crow, The (1994)",1994,6718872
354,Cobb (1994),1994,18104235
355,"Flintstones, The (1994)",1994,19128080
356,Forrest Gump (1994),1994,11304423
357,Four Weddings and a Funeral (1994),1994,17792360
358,Higher Learning (1995),1995,12585725
359,I Like It Like That (1994),1994,8840603
360,I Love Trouble (1994),1994,12729727
361,It Could Happen to You (1994),1994,6802152
362,"Jungle Book, The (1994)",1994,13940181
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",1993,12622667
364,"Lion King, The (1994)",1994,17226395
365,Little Buddha (1993),1993,16347086
366,Wes Craven's New Nightmare (1994),1994,18285837
367,"Mask, The (1994)",1994,15165443
368,Maverick (1994),1994,19247944
369,Mrs. Parker and the Vicious Circle (1994),1994,12572040
370,Naked Gun 33 1/3: The Final Insult (1994),1994,8372244
371,"Paper, The (1994)",1994,19927157
372,Reality Bites (1994),1994,9530041
373,Red Rock West (1992),1992,16930481
374,Richie Rich (1994),1994,9817870
375,Safe Passage (1994),1994,5315239
376,"River Wild, The (1994)",1994,13709787
377,Speed (1994),1994,17158064
378,Speechless (1994),1994,19439017
379,Timecop (1994),1994,7609387
380,True Lies (1994),1994,7497980
381,When a Man Loves a Woman (1994),1994,15637529
382,Wolf (1994),1994,16368675
383,Wyatt Earp (1994),1994,19276223
384,Bad Company (1995),1995,6430301
385,"Man of No Importance, A (1994)",1994,7939350
386,S.F.W. (1994),1994,19783032
387,"Low Down Dirty Shame, A (1994)",1994,6378583
388,Boys Life (1995),1995,18409726
389,"Colonel Chabert, Le (1994)",1994,5705687
390,Faster Pussycat! Kill! Kill! (1965),1965,14844766
391,Jason's Lyric (1994),1994,6100888
392,"Secret Adventures of Tom Thumb, The (1993)",1993,13100135
393,Street Fighter (1994),1994,9489892
394,Coldblooded (1995),1995,14329597
395,Desert Winds (1995),1995,19792287
396,Fall Time (1995),1995,11880968
397,"Fear, The (1995)",1995,9133117
398,Frank and Ollie (1995),1995,7586717
399,Girl in the Cadillac (1995),1995,10578689
400,Homage (1995),1995,10714115
401,Mirage (1995),1995,6971878
402,Open Season (1996),1996,6033230
403,Two Crimes (1995),1995,19245578
404,Brother Minister: The Assassination of Malcolm X (1994),1994,18972825
405,Highlander III: The Sorcerer (1994),1994,19201827
406,Federal Hill (1994),1994,8927866
407,In the Mouth of Madness (1995),1995,17908717
408,8 Seconds (1994),1994,5291782
409,Above the Rim (1994),1994,11885264
410,Addams Family Values (1993),1993,16050023
411,You So Crazy (1994),1994,15255955
412,"Age of Innocence, The (1993)",1993,8965467
413,Airheads (1994),1994,13765682
414,"Air Up There, The (1994)",1994,8546479
415,Another Stakeout (1993),1993,5083827
416,Bad Girls (1994),1994,6604000
417,Barcelona (1994),1994,6173889
418,Being Human (1993),1993,18296478
419,"Beverly Hillbillies, The (1993)",1993,19858814
420,Beverly Hills Cop III (1994),1994,8492835
421,Black Beauty (1994),1994,7798781
422,Blink (1994),1994,8201261
423,Blown Away (1994),1994,6857582
424,Blue Chips (1994),1994,14074791
425,Blue Sky (1994),1994,7569422
426,Body Snatchers (1993),1993,14895776
427,Boxing Helena (1993),1993,14705220
428,"Bronx Tale, A (1993)",1993,9426877
429,Cabin Boy (1994),1994,13067668
430,Calendar Girl (1993),1993,18559581
431,Carlito's Way (1993),1993,19767559
432,City Slickers II: The Legend of Curly's Gold (1994),1994,16986562
433,Clean Slate (1994),1994,17788922
434,Cliffhanger (1993),1993,11905457
435,Coneheads (1993),1993,13030509
436,Color of Night (1994),1994,13301113
437,Cops and Robbersons (1994),1994,19028608
438,"Cowboy Way, The (1994)",1994,7428664
439,Dangerous Game (1993),1993,8866837
440,Dave (1993),1993,9740070
441,Dazed and Confused (1993),1993,8011318
442,Demolition Man (1993),1993,12826831
443,"Endless Summer 2, The (1994)",1994,12229486
444,Even Cowgirls Get the Blues (1993),1993,18424217
445,Fatal Instinct (1993),1993,5196831
446,Farewell My Concubine (1993),1993,17114854
447,"Favor, The (1994)",1994,10414339
448,Fearless (1993),1993,15710969
449,Fear of a Black Hat (1993),1993,15105242
450,With Honors (1994),1994,14787060
451,Flesh and Bone (1993),1993,14173819
452,Widows' Peak (1994),1994,11904853
453,For Love or Money (1993),1993,12148869
454,"Firm, The (1993)",1993,6624397
455,Free Willy (1993),1993,12531876
456,Fresh (1994),1994,13711327
457,"Fugitive, The (1993)",1993,17043084
458,Geronimo: An American Legend (1993),1993,19519330
459,"Getaway, The (1994)",1994,5990341
460,Getting Even with Dad (1994),1994,5505851
461,Go Fish (1994),1994,14182536
462,"Good Man in Africa, A (1994)",1994,12286589
463,Guilty as Sin (1993),1993,16367794
464,Hard Target (1993),1993,15667658
465,Heaven & Earth (1993),1993,7101475
466,Hot Shots! Part Deux (1993),1993,10084475
467,Live Nude Girls (1995),1995,12726999
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",1995,18115724
469,"House of the Spirits, The (1993)",1993,13749437
470,House Party 3 (1994),1994,18470123
471,"Hudsucker Proxy, The (1994)",1994,7632900
472,I'll Do Anything (1994),1994,12340532
473,In the Army Now (1994),1994,8154602
474,In the Line of Fire (1993),1993,17282722
475,In the Name of the Father (1993),1993,15650914
476,"Inkwell, The (1994)",1994,19214592
477,What's Love Got to Do with It? (1993),1993,17326972
478,Jimmy Hollywood (1994),1994,16157831
479,Judgment Night (1993),1993,10939454
480,Jurassic Park (1993),1993,14987247
481,Kalifornia (1993),1993,17727083
482,Killing Zoe (1994),1994,6737956
483,King of the Hill (1993),1993,11779612
484,Lassie (1994),1994,6314713
485,Last Action Hero (1993),1993,9288749
486,Life with Mikey (1993),1993,5901980
487,Lightning Jack (1994),1994,15746309
488,M. Butterfly (1993),1993,15506584
489,Made in America (1993),1993,7120919
490,Malice (1993),1993,5332673
491,"Man Without a Face, The (1993)",1993,8475679
492,Manhattan Murder Mystery (1993),1993,11130840
493,Menace II Society (1993),1993,7129055
494,Executive Decision (1996),1996,5184870
495,In the Realm of the Senses (Ai no corrida) (1976),1976,19181760
496,What Happened Was... (1994),1994,6956370
497,Much Ado About Nothing (1993),1993,13619585
498,Mr. Jones (1993),1993,15188640
499,Mr. Wonderful (1993),1993,11786421
500,Mrs. Doubtfire (1993),1993,5179544
501,Naked (1993),1993,13579308
502,"Next Karate Kid, The (1994)",1994,8989298
503,"New Age, The (1994)",1994,12033569
504,No Escape (1994),1994,18202344
505,North (1994),1994,8884755
506,Orlando (1993),1993,17754964
507,"Perfect World, A (1993)",1993,16147764
508,Philadelphia (1993),1993,14003387
509,"Piano, The (1993)",1993,18201863
510,Poetic Justice (1993),1993,6609807
511,"Program, The (1993)",1993,12848255
512,Robert A. Heinlein's The Puppet Masters (1994),1994,13493410
513,Radioland Murders (1994),1994,12824083
514,"Ref, The (1994)",1994,13455265
515,"Remains of the Day, The (1993)",1993,14208836
516,Renaissance Man (1994),1994,8809253
517,Rising Sun (1993),1993,19706943
518,"Road to Wellville, The (1994)",1994,17200573
519,Robocop 3 (1993),1993,11554166
520,Robin Hood: Men in Tights (1993),1993,10661631
521,Romeo Is Bleeding (1993),1993,15898862
522,Romper Stomper (1992),1992,11206593
523,Ruby in Paradise (1993),1993,12767574
524,Rudy (1993),1993,10275324
525,"Saint of Fort Washington, The (1993)",1993,15937311
526,"Savage Nights (Nuits fauves, Les) (1992)",1992,13175964
527,Schindler's List (1993),1993,8431155
528,"Scout, The (1994)",1994,15848436
529,Searching for Bobby Fischer (1993),1993,10037290
530,Second Best (1994),1994,10246696
531,"Secret Garden, The (1993)",1993,8000701
532,Serial Mom (1994),1994,5608726
533,"Shadow, The (1994)",1994,7491367
534,Shadowlands (1993),1993,6453561
535,Short Cuts (1993),1993,8190146
536,"Simple Twist of Fate, A (1994)",1994,19432249
537,Sirens (1994),1994,16545410
538,Six Degrees of Separation (1993),1993,5146260
539,Sleepless in Seattle (1993),1993,7379725
540,Sliver (1993),1993,9387220
541,Blade Runner (1982),1982,12679696
542,Son in Law (1993),1993,6371686
543,So I Married an Axe Murderer (1993),1993,6705766
544,Striking Distance (1993),1993,12519122
545,Harlem (1993),1993,7024204
546,Super Mario Bros. (1993),1993,5924268
547,Surviving the Game (1994),1994,17850509
548,Terminal Velocity (1994),1994,5256274
549,Thirty-Two Short Films About Glenn Gould (1993),1993,12713372
550,Threesome (1994),1994,10096433
551,"Nightmare Before Christmas, The (1993)",1993,16431653
552,"Three Musketeers, The (1993)",1993,11639973
553,Tombstone (1993),1993,10066602
554,Trial by Jury (1994),1994,15390765
555,True Romance (1993),1993,18206940
556,"War Room, The (1993)",1993,19398011
557,Mamma Roma (1962),1962,11906524
558,"Pagemaster, The (1994)",1994,5185474
559,"Paris, France (1993)",1993,12234032
560,"Beans of Egypt, Maine, The (1994)",1994,7391156
561,Killer (Bulletproof Heart) (1994),1994,17639799
562,Welcome to the Dollhouse (1995),1995,13173690
563,Germinal (1993),1993,10637224
564,Chasers (1994),1994,11570702
565,Cronos (1992),1992,10693493
566,Naked in New York (1994),1994,16253956
567,Kika (1993),1993,18120339
568,Bhaji on the Beach (1993),1993,8229538
569,Little Big League (1994),1994,17895863
570,"Slingshot, The (K�disbellan ) (1993)",1993,18652198
571,"Wedding Gift, The (1994)",1994,15054576
572,Foreign Student (1994),1994,12834898
573,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",1993,14133195
574,Spanking the Monkey (1994),1994,11487999
575,"Little Rascals, The (1994)",1994,7344541
576,Fausto (1993),1993,18339138
577,Andre (1994),1994,7561631
578,"Hour of the Pig, The (1993)",1993,13740505
579,"Scorta, La (1993)",1993,11468113
580,Princess Caraboo (1994),1994,11720561
581,"Celluloid Closet, The (1995)",1995,17430991
582,Metisse (Caf� au Lait) (1993),1993,12064081
583,Dear Diary (Caro Diario) (1994),1994,19612531
584,I Don't Want to Talk About It (De eso no se habla) (1993),1993,6357985
585,"Brady Bunch Movie, The (1995)",1995,10338125
586,Home Alone (1990),1990,14892672
587,Ghost (1990),1990,11672286
588,Aladdin (1992),1992,12459629
589,Terminator 2: Judgment Day (1991),1991,13827520
590,Dances with Wolves (1990),1990,9763340
591,Tough and Deadly (1995),1995,16731848
592,Batman (1989),1989,11859936
593,"Silence of the Lambs, The (1991)",1991,16112316
594,Snow White and the Seven Dwarfs (1937),1937,14196383
595,Beauty and the Beast (1991),1991,19661932
596,Pinocchio (1940),1940,16237218
597,Pretty Woman (1990),1990,14304960
598,Window to Paris (1994),1994,19763703
599,"Wild Bunch, The (1969)",1969,12796324
600,Love and a .45 (1994),1994,17315523
601,"Wooden Man's Bride, The (Wu Kui) (1994)",1994,19641326
602,"Great Day in Harlem, A (1994)",1994,18554572
603,"Bye Bye, Love (1995)",1995,13475786
604,Criminals (1996),1996,18349077
605,One Fine Day (1996),1996,16009004
606,Candyman: Farewell to the Flesh (1995),1995,18902317
607,Century (1993),1993,14656804
608,Fargo (1996),1996,11577547
609,Homeward Bound II: Lost in San Francisco (1996),1996,15656566
610,Heavy Metal (1981),1981,11257860
611,Hellraiser: Bloodline (1996),1996,10584295
612,"Pallbearer, The (1996)",1996,5797636
613,Jane Eyre (1996),1996,7482207
614,Loaded (1994),1994,17913501
615,Bread and Chocolate (Pane e cioccolata) (1973),1973,14209047
616,"Aristocats, The (1970)",1970,17080023
617,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",1995,10455006
618,Two Much (1996),1996,7772844
619,Ed (1996),1996,5049699
620,Scream of Stone (Schrei aus Stein) (1991),1991,16218530
621,My Favorite Season (1993),1993,7248363
623,"Modern Affair, A (1995)",1995,14821039
624,Condition Red (1995),1995,9061313
625,Asfour Stah (1990),1990,7500750
626,"Thin Line Between Love and Hate, A (1996)",1996,19739938
627,"Last Supper, The (1995)",1995,14202460
628,Primal Fear (1996),1996,6022579
629,Rude (1995),1995,11673294
630,Carried Away (1996),1996,6462421
631,All Dogs Go to Heaven 2 (1996),1996,15265333
632,Land and Freedom (Tierra y libertad) (1995),1995,18083319
633,Denise Calls Up (1995),1995,17009182
634,Theodore Rex (1995),1995,11246709
635,"Family Thing, A (1996)",1996,10951658
636,Frisk (1995),1995,13536173
637,Sgt. Bilko (1996),1996,11237135
638,Jack and Sarah (1995),1995,9783695
639,Girl 6 (1996),1996,6277027
640,Diabolique (1996),1996,17502182
641,"Little Indian, Big City (Un indien dans la ville) (1994)",1994,8683487
642,Roula (1995),1995,19599498
643,Peanuts - Die Bank zahlt alles (1996),1996,11234764
644,Happy Weekend (1996),1996,15532813
645,Nelly & Monsieur Arnaud (1995),1995,19497745
647,Courage Under Fire (1996),1996,19816087
648,Mission: Impossible (1996),1996,11413220
649,Cold Fever (� k�ldum klaka) (1994),1994,11703249
650,Moll Flanders (1996),1996,17206472
